Not,5180,Bandage,Instant,Instant,"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card.",1,{W},1,,,W,(W),common,Rebecca Guay,black,"nonfoil,foil","Life is measured in inches. To a healer, every one of those inches is precious.",1,1,0,0,,3,,"mtgo,paper",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Not,3032,Beacon of Immortality,Instant,Instant,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,6,{5}{W},6,,,W,(W),rare,Rob Alexander,black,"nonfoil,foil",The cave floods with light. A thousand rays shine forth and meld into one.,1,1,0,0,,4,,"mtgo,paper",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Yes,2330,Condemn,Instant,Instant,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,1,{W},1,,,W,(W),uncommon,Daren Bader,black,"nonfoil,foil","""No doubt the arbiters would put you away, after all the documents are signed. But I will have justice now!""
—Alovnek, Boros guildmage",1,1,0,0,,13,,"mtgo,paper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Not,8564,Field Marshal,Creature - Human Soldier,Creature,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),3,{1}{W}{W},3,2.0,2.0,W,(W),rare,Stephen Tappin,black,nonfoil,He is the only one who sees the patterns in the overlapping maps and conflicting reports.,0,1,0,0,,2,"Human,Soldier","mtgo,paper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Not,4927,Hypnotic Specter,,Creature,"Flying
Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.",3,{1}{B}{B},3,2.0,2.0,B,(B),rare,Greg Staples,black,foil,Its victims are known by their eyes: shattered vessels leaking broken dreams.,1,0,0,0,Flying,19,Specter,"mtgo,paper",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Not,3414,Glorious Anthem,Enchantment,Enchantment,Creatures you control get +1/+1.,3,{1}{W}{W},3,,,W,(W),rare,Kev Walker,black,"nonfoil,foil","Once heard, the battle song of an angel becomes part of the listener forever.",1,1,0,0,,13,,"mtgo,paper",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,2284,Reya Dawnbringer,Legendary Creature - Angel,Creature,"Flying
At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.",9,{6}{W}{W}{W},9,4.0,6.0,W,(W),rare,Matthew D. Wilson,black,nonfoil,"""You have not died until I consent.""",0,1,0,0,Flying,9,Angel,"mtgo,paper",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Not,5377,Boomerang,Instant,Instant,Return target permanent to its owner's hand.,2,{U}{U},2,,,U,(U),common,Arnie Swekel,black,"nonfoil,foil",Early Jamuraan hunters devised a weapon that would return to its source. Tolarian Aethermancers developed a spell that skipped the weapon entirely.,1,1,0,0,,15,,"mtgo,paper",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Yes,1530,Cancel,Instant,Instant,Counter target spell.,3,{1}{U}{U},3,,,U,(U),common,Mark Poole,black,"nonfoil,foil",,1,1,0,0,,22,,"mtgo,paper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Not,5906,Cephalid Constable,Creature - Cephalid Wizard,Creature,"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owner's hand.",3,{1}{U}{U},3,1.0,1.0,U,(U),rare,Alan Pollack,black,"nonfoil,foil",Cephalids don't police people. They police loyalties.,1,1,0,0,,3,"Cephalid,Wizard","mtgo,paper",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Yes,2012,Clone,Creature - Shapeshifter,Creature,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,4,{3}{U},4,0.0,0.0,U,(U),rare,Kev Walker,black,"nonfoil,foil",,1,1,0,0,,16,Shapeshifter,"mtgo,paper",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not,3523,Dreamborn Muse,Creature - Spirit,Creature,"At the beginning of each player's upkeep, that player mills X cards, where X is the number of cards in their hand.",4,{2}{U}{U},4,2.0,2.0,U,(U),rare,Kev Walker,black,"nonfoil,foil","""Her voice is insight, piercing and true.""
—Ixidor, reality sculptor",1,1,0,0,Mill,4,Spirit,"mtgo,paper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Yes,1066,Evacuation,Instant,Instant,Return all creatures to their owners' hands.,5,{3}{U}{U},5,,,U,(U),rare,Franz Vohwinkel,black,"nonfoil,foil","""Once I supply the breeze, you'll see your warriors for the smoke they truly are.""
—Alexi, zephyr mage",1,1,0,0,,8,,"mtgo,paper",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not,8739,Ascendant Evincar,Legendary Creature - Vampire,Creature,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Other black creatures get +1/+1.
Nonblack creatures get -1/-1.",6,{4}{B}{B},6,3.0,3.0,B,(B),rare,Mark Zug,black,nonfoil,"His soul snared by an angel's curse, Crovax twisted heroism into its purest shadow.",0,1,0,0,Flying,6,"Phyrexian,Vampire,Noble","mtgo,paper",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
